147,42,38
152,43,39
156,44,38
154,43,40
156,45,40
153,42,38
148,42,39
148,42,38
142,39,35
137,37,35
134,37,35
139,39,37
140,39,36
139,38,36
142,40,36
140,39,36
135,38,35
132,39,36
130,36,34
131,37,36
137,40,38
135,37,34
140,40,38
145,42,38
144,41,39
145,43,38
146,42,38
144,39,37
143,40,37
140,39,37
139,39,37
140,39,35
137,38,35
140,39,36
136,39,37
142,39,35
142,40,38
140,37,36
142,40,36
147,42,37
153,43,39
158,44,42
166,49,43
168,47,42
170,48,42
172,47,42
177,51,43
182,52,45
184,52,44
188,54,45
189,54,46
192,53,44
197,56,46
204,59,48
206,58,46
203,58,47
206,57,47
208,60,49
206,58,47
203,56,47
202,58,47
200,56,46
202,59,48
200,57,46
197,54,46
195,57,48
193,55,45
190,53,45
190,53,44
188,52,44
184,52,45
187,55,47
184,50,43
183,52,46
185,51,43
186,53,45
182,51,44
182,50,43
183,53,45
181,49,42
182,52,46
182,50,42
181,51,44
178,51,45
177,49,43
181,52,45
179,51,44
